6.0,-0.5,418,0.63,0
---,---,309,1.31,0
95.,-0.9,483,0.49,0
90.,-0.9,478,0.48,-1
93.,-0.6,498,0.53,-1
96.,-0.6,498,0.53,-1
143,-0.6,---,---,0
31.,-0.8,433,0.51,0
9.8,-0.8,421,0.51,0
---,---,299,0.81,1
---,---,259,1.03,1
---,---,206,1.35,0
-78,-0.4,333,1.14,0
-61,-0.4,368,1.14,0
58.,-1.6,478,0.45,0
---,---,312,0.49,1
---,---,448,0.38,0
---,---,448,0.38,1
---,---,415,0.46,1
---,---,388,0.44,1
---,---,287,0.52,1
---,---,226,0.55,0
---,---,322,1.05,1
---,---,325,0.68,1
---,---,272,0.86,0
---,---,388,0.53,1
---,---,355,0.50,0
-64,-0.5,427,0.54,0
-42,-0.9,456,0.44,0
---,---,415,0.46,0
---,---,437,0.47,0
-23,-0.6,485,0.44,0
23.,-0.6,562,0.38,-1
62.,-0.5,---,---,-1
116,-0.9,---,---,-1
22.,-1.4,580,0.28,0
---,---,378,0.68,0
---,---,379,0.67,0
---,---,370,0.53,1
---,---,352,0.55,1
---,---,505,0.42,0
---,---,476,0.37,0
---,---,479,0.37,0
---,---,429,0.39,1
203,-1.1,---,---,-1
205,-1.2,---,---,-1
118,-1.0,570,0.32,0
---,---,564,0.33,-1
182,-2.8,602,0.29,-1
182,-2.6,599,0.29,0
---,---,451,0.41,1
---,---,355,0.48,0
---,---,385,0.47,0
